Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_yesterday,price_change_percent
Warszawa,Manchester,Wielka Brytania,Warszawa,2026-08-10,2026-08-17,7,280,167,447,WARS,MAN,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=man&outboundDate=2026-08-10&inboundDate=2026-08-17&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Manchester,569.2857142857143,-1.7275558472459234,452.97,-1.32
Warszawa,Alicante,Hiszpania,Warszawa,2026-07-10,2026-07-12,2,179,298,477,WARS,ALC,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-07-10&inboundDate=2026-07-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,558.8181818181819,-1.4350495627120916,,0.0
Warszawa,Malaga,Hiszpania,Warszawa,2026-07-25,2026-07-28,3,171,322,493,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-07-25&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,583.1470588235294,-1.7306685276842304,493.58,-0.12
Warszawa,Malaga,Hiszpania,Warszawa,2026-07-11,2026-07-16,5,196,298,494,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-07-11&inboundDate=2026-07-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,583.1470588235294,-1.711470247116118,494.41,-0.08
Warszawa,Alicante,Hiszpania,Warszawa,2026-07-23,2026-07-25,2,159,340,499,WARS,ALC,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-07-23&inboundDate=2026-07-25&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,558.8181818181819,-1.0491806802939516,,0.0
Warszawa,Malaga,Hiszpania,Warszawa,2026-08-01,2026-08-06,5,171,344,515,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-08-01&inboundDate=2026-08-06&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,646.1071428571429,-2.8813744136617103,520.26,-1.01
Warszawa,Barcelona,Hiszpania,Warszawa,2026-08-12,2026-08-19,7,219,298,517,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-08-12&inboundDate=2026-08-19&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,569.6111111111111,-1.992680492630588,,0.0
Warszawa,Malaga,Hiszpania,Warszawa,2026-07-02,2026-07-05,3,219,298,517,WARS,AGP,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-07-02&inboundDate=2026-07-05&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,583.1470588235294,-1.2699097940495379,,0.0
Warszawa,Malaga,Hiszpania,Warszawa,2026-07-10,2026-07-16,6,219,298,517,WARS,AGP,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-07-10&inboundDate=2026-07-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,583.1470588235294,-1.2699097940495379,517.0699999999999,-0.01
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-08-13,2026-08-20,7,323,196,519,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-08-13&inboundDate=2026-08-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Leeds,571.2857142857143,-1.9532296195493521,520.13,-0.22
Warszawa,Barcelona,Hiszpania,Warszawa,2026-08-02,2026-08-04,2,179,340,519,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-08-02&inboundDate=2026-08-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,569.6111111111111,-1.9169291750649058,519.65,-0.13
Warszawa,Barcelona,Hiszpania,Warszawa,2026-08-02,2026-08-06,4,179,340,519,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-08-02&inboundDate=2026-08-06&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,569.6111111111111,-1.9169291750649058,519.65,-0.13
Warszawa,Malaga,Hiszpania,Warszawa,2026-08-01,2026-08-04,3,171,387,558,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-08-01&inboundDate=2026-08-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,646.1071428571429,-1.936352677336813,558.58,-0.1
Warszawa,Malaga,Hiszpania,Warszawa,2026-08-29,2026-08-31,2,204,374,578,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-08-29&inboundDate=2026-08-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,646.1071428571429,-1.4968076836973259,578.7,-0.12
Warszawa,Alicante,Hiszpania,Warszawa,2026-08-06,2026-08-11,5,239,340,579,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-08-06&inboundDate=2026-08-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,656.5217391304348,-2.297749096778867,579.8399999999999,-0.14
Warszawa,Alicante,Hiszpania,Warszawa,2026-08-06,2026-08-12,6,239,340,579,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-08-06&inboundDate=2026-08-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,656.5217391304348,-2.297749096778867,579.8399999999999,-0.14
Warszawa,Malaga,Hiszpania,Warszawa,2026-08-08,2026-08-11,3,204,378,582,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-08-08&inboundDate=2026-08-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,646.1071428571429,-1.4088986849694283,582.96,-0.16
Warszawa,Alicante,Hiszpania,Warszawa,2026-08-08,2026-08-12,4,282,340,622,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-08-08&inboundDate=2026-08-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,656.5217391304348,-1.0232264626149297,,0.0
Warszawa,Alicante,Hiszpania,Warszawa,2026-08-08,2026-08-11,3,282,340,622,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-08-08&inboundDate=2026-08-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,656.5217391304348,-1.0232264626149297,,0.0
