Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_yesterday,price_change_percent
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-26,2026-06-02,7,179,63,242,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-26&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,405.030303030303,-3.5702541474762715,242.84,-0.35
Warszawa,Bukareszt,Rumunia,Warszawa,2026-08-17,2026-08-20,3,89,155,244,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-08-17&inboundDate=2026-08-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,339.1875,-2.3421036970941573,244.41,-0.17
Warszawa,Bukareszt,Rumunia,Warszawa,2026-08-09,2026-08-12,3,139,106,245,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-08-09&inboundDate=2026-08-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,339.1875,-2.3174985367832535,235.07,4.22
Warszawa,Charleroi,Belgia,Warszawa,2026-08-28,2026-08-31,3,145,112,257,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-08-28&inboundDate=2026-08-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,278.2,-1.2608776792806824,258.39,-0.54
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-12,4,69,195,264,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,346.1025641025641,-1.7200884891756831,264.86,-0.32
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-15,7,69,195,264,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,346.1025641025641,-1.7200884891756831,264.86,-0.32
Warszawa,Manchester,Wielka Brytania,Warszawa,2026-05-15,2026-05-17,2,161,108,269,WARS,MAN,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=man&outboundDate=2026-05-15&inboundDate=2026-05-17&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Manchester,313.5,-1.31389110080536,246.52,9.12
Warszawa,Charleroi,Belgia,Warszawa,2026-07-27,2026-08-02,6,104,178,282,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-07-27&inboundDate=2026-08-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,345.6666666666667,-1.7256120553634753,282.81,-0.29
Warszawa,Charleroi,Belgia,Warszawa,2026-05-24,2026-05-31,7,208,89,297,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-05-24&inboundDate=2026-05-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,385.4,-1.0604293386834724,298.37,-0.46
Warszawa,Charleroi,Belgia,Warszawa,2026-05-29,2026-05-31,2,212,89,301,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-05-29&inboundDate=2026-05-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,385.4,-1.0124461106887452,302.26,-0.42
